EMPRESA YOBOM SORVETES;;;;;;
;;;;;;
CATEGORIA;PRODUTO;UNIDADE MEDIDA;NCM;CEST;ORIGEM;CFOP
Bebidas;Água;;220.210.00;301100;NAC;5.405
Bebidas;Baré;;220.210.00;301100;NAC;5.405
Bebidas;Cerveja;;220.300.00;302100;NAC;5.405
Bebidas;Cerveja Badem;;220.300.00;302100;NAC;5.405
Bebidas;Cerveja Original;;220.300.00;302100;NAC;5.405
Bebidas;Coca Cola;;220.210.00;301100;NAC;5.405
Bebidas;Fanta Laranja;;220.210.00;301100;NAC;5.405
Bebidas;Guaraná Antárctica;;220.210.00;301100;NAC;5.405
Bebidas;Long Neck;;220.300.00;301000;NAC;5.405
Bebidas;Suco del vale ;;220.210.00;301100;NAC;5.405
Pizzas;4 Queijos;;21.069.090;.....;NAC;5.101
Pizzas;Atum;;21.069.090;.....;NAC;5.101
Pizzas;Bacon;;21.069.090;.....;NAC;5.101
Pizzas;Banana;;21.069.090;.....;NAC;5.101
Pizzas;Calabreza;;21.069.090;.....;NAC;5.101
Pizzas;Camarão;;21.069.090;.....;NAC;5.101
Pizzas;Carne de Sol;;21.069.090;.....;NAC;5.101
Pizzas;Catupiry;;21.069.090;.....;NAC;5.101
Pizzas;Chocolate ;;21.069.090;.....;NAC;5.101
Pizzas;Doce;;21.069.090;.....;NAC;5.101
Pizzas;Frango;;21.069.090;.....;NAC;5.101
Pizzas;FRANGO;;21.069.090;.....;NAC;5.101
Pizzas;Frango Com catupiry;;21.069.090;.....;NAC;5.101
Pizzas;Marguerita;;21.069.090;.....;NAC;5.101
Pizzas;Milho verde;;21.069.090;.....;NAC;5.101
Pizzas;Moda da Casa;;21.069.090;.....;NAC;5.101
Pizzas;Mussarela;;21.069.090;.....;NAC;5.101
Pizzas;Palmito;;21.069.090;.....;NAC;5.101
Pizzas;Picanha;;21.069.090;.....;NAC;5.101
Pizzas;Portuguesa;;21.069.090;.....;NAC;5.101
Refeicoes;1 JARAQUI;;21.069.090;.....;NAC;5.101
Refeicoes;2 JARAQUI;;21.069.090;.....;NAC;5.101
Refeicoes;BANDA DE TAMBAQUI - Grande;;21.069.090;.....;NAC;5.101
Refeicoes;BANDA DE TAMBAQUI - Média;;21.069.090;.....;NAC;5.101
Refeicoes;Calabresa acebolada com Fritas;;21.069.090;.....;NAC;5.101
Refeicoes;CALDEIRADA DE TAMBAQUI;;21.069.090;.....;NAC;5.101
Refeicoes;CALDINHO NORDESTINO;;21.069.090;.....;NAC;5.101
Refeicoes;CAMARÃO ALHO E ÓLEO;;21.069.090;.....;NAC;5.101
Refeicoes;Camarão Delícia ao Molho Branco;;21.069.090;.....;NAC;5.101
Refeicoes;CARNE DE SOL 1;;21.069.090;.....;NAC;5.101
Refeicoes;CARNE DE SOL 2;;21.069.090;.....;NAC;5.101
Refeicoes;CARNE DE SOL 3;;21.069.090;.....;NAC;5.101
Refeicoes;Crepioca Bacon com Catupiri;;21.069.090;.....;NAC;5.101
Refeicoes;Crepioca Banana e Frango;;21.069.090;.....;NAC;5.101
Refeicoes;Crepioca Banana e Queijo;;21.069.090;.....;NAC;5.101
Refeicoes;Crepioca Camarão e Queijo;;21.069.090;.....;NAC;5.101
